,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Filename,Miss Error,Precision,Recall,Substitution Error,Total Error,accum_energy,average_precision_score,binary_accuracy,binary_crossentropy,cosine_sim,euclidean_distance,f_measure,precision,recall,roc_auc_measure,soft_accuracy,FILEWISE MEAN,FRAMEWISE MEAN
0,0.32099585062240665,0.41142046462138676,0.1448001165784233,0.21178413561956574,0.6039150354019158,0.5634623791713217,0.22475348520911254,0.5813377374071016,0.1448001165784233,Schubert_D911-04_SC06.npy,0.21178413561956574,0.503436068304873,0.4697138971195415,0.3185019672608928,0.6750862194588818,0.4141641104014306,0.5018236337737525,0.9587307928207115,0.12833253268232392,0.5972056194920957,1.368971888572359,0.4859907023495414,0.503436068304873,0.4697138971195415,0.9615979634614895,0.9450093209589849,,
1,0.5906208074155385,0.6147964711344993,0.0957586512866016,0.24425909494232476,0.8278521112083698,0.7049157054125998,0.05082519964507542,0.39084294587400176,0.0957586512866016,Schubert_D911-14_HU33.npy,0.24425909494232476,0.8073861031220041,0.687488908606921,0.06825199645075422,0.4082697426796806,0.5292779741158795,0.8248851458740706,0.9763689998451118,0.09242891202479042,0.7828197389483537,1.0791379769465377,0.7426292987769811,0.8073861031220041,0.687488908606921,0.9852092209211862,0.9587983533531622,,
2,0.5541379310344827,0.5917920463375009,0.06963127077069156,0.28651685393258425,0.8465191472163281,0.6629213483146067,0.05056179775280899,0.40670992245608484,0.06963127077069156,Schubert_D911-09_HU33.npy,0.28651685393258425,0.8118621804587248,0.6357809780028486,0.07770216806456717,0.43385029276784304,0.4826534232364614,0.7893022690772592,0.9685548356971926,0.1310304454489978,0.764433047645377,1.2557848850340154,0.7131129354337696,0.8118621804587248,0.6357809780028486,0.9695269235465992,0.9509610984935056,,
3,0.4676103808560836,0.5153118040089086,0.029983854847389867,0.3561159375720766,0.8447233314318311,0.5692319520258322,0.07465211040209119,0.46075190282155765,0.029983854847389867,Schubert_D911-19_SC06.npy,0.3561159375720766,0.7914432401597262,0.5333282078880602,0.11055585453986315,0.49665564695932957,0.4513279623860217,0.7736686871700895,0.9654069869301657,0.12284464047955355,0.7534852189108853,1.3285127778595394,0.6372404923755282,0.7914432401597262,0.5333282078880602,0.9776957628967802,0.9509109822130603,,
4,0.6754941150344215,0.7131584922797457,0.22023852031707492,0.06505748768121117,0.7766444114737884,0.8971648932371634,0.037777619081625365,0.32307362707991144,0.22023852031707492,Schubert_D911-23_SC06.npy,0.06505748768121117,0.7521636993076162,0.8688852388773834,0.06605727344140541,0.35135328143969147,0.6703776098389405,0.8703161398669924,0.9788674852126629,0.07890202464989263,0.8127051463499189,0.999418573966618,0.8063222770800887,0.7521636993076162,0.8688852388773834,0.9902182000350448,0.96303712260579,,
5,0.48700476391485253,0.5161706837186424,0.14429361488185016,0.2369571102602777,0.7156557691488001,0.6493406040917353,0.11370228564798701,0.4949530107901149,0.14429361488185016,Schubert_D911-17_SC06.npy,0.2369571102602777,0.6884617023997273,0.6246664346211858,0.13837645511853658,0.5196271802606645,0.48011169650758345,0.7136029293203667,0.9712033200639099,0.10103973659883794,0.6902821848936849,1.1463658003675843,0.6550143963664382,0.6884617023997273,0.6246664346211858,0.9781299641330288,0.9565434529138174,,
6,0.5018169925139908,0.5470744581290009,0.1694947209653092,0.22157805429864252,0.7266669981602109,0.6888197586726998,0.08960218702865762,0.48067496229260936,0.1694947209653092,Schubert_D911-12_HU33.npy,0.22157805429864252,0.6866391527025011,0.6508766968325792,0.12754524886877827,0.5186180241327301,0.5236657698206706,0.731125661295049,0.9720817041381558,0.09666880451029743,0.7361869774850943,1.1270354827602445,0.6682798170687444,0.6866391527025011,0.6508766968325792,0.9813192286833914,0.9568531095894006,,
7,0.5412673056443025,0.5787361695496338,0.14809756097560975,0.1713658536585366,0.7418968186585426,0.7246341463414634,0.104,0.42346341463414633,0.14809756097560975,Schubert_D911-05_SC06.npy,0.1713658536585366,0.7107326574439394,0.6941951219512195,0.1344390243902439,0.45390243902439026,0.5441778129511632,0.7607349999706061,0.9731246768989429,0.0944094836203373,0.7411865475915819,1.135575816800177,0.7023665572637761,0.7107326574439394,0.6941951219512195,0.98277714446565,0.9577001853008514,,
8,0.6155297532656023,0.6402888299440024,0.03716804814951692,0.27416715062562697,0.9019512870190977,0.6881896415183992,0.03764320785597381,0.3489784066311177,0.03716804814951692,Schubert_D911-13_HU33.npy,0.27416715062562697,0.8803625795737614,0.671717438361227,0.054115411013146084,0.36545060978828997,0.5018399754905155,0.8721691762293895,0.9761557571829769,0.09639489762197746,0.8214246986742809,1.13085172955258,0.7620159913754381,0.8803625795737614,0.671717438361227,0.9891422286159774,0.9564775471098883,,
9,0.6040292515055922,0.643925199309306,0.13522761727379046,0.19708060813444797,0.8092248026224664,0.7591718283016416,0.04374756356391043,0.3760557889721488,0.13522761727379046,Schubert_D911-14_SC06.npy,0.19708060813444797,0.7779675885313264,0.7298479663880105,0.07307142547754147,0.4053796508857799,0.5821562843762365,0.8356029563783162,0.9761479063018242,0.08842629480685374,0.774454756596641,1.063339345556573,0.7531399454699861,0.7779675885313264,0.7298479663880105,0.9867177095945431,0.9594835639868087,,
10,0.48944500504540867,0.5537263157894737,0.15985489090719282,0.23371437519574068,0.7411937101955701,0.6864495250026099,0.07983609980164943,0.47340536590458293,0.15985489090719282,Schubert_D911-11_HU33.npy,0.23371437519574068,0.6834244490785099,0.6329470717193861,0.13333855308487316,0.5269078191878067,0.5198344560258865,0.7029169006982897,0.9679561230176825,0.11336424975454547,0.7164329102107417,1.2420305478944982,0.6572179615728571,0.6834244490785099,0.6329470717193861,0.9744618098196514,0.9533310508527822,,
