,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Filename,Miss Error,Precision,Recall,Substitution Error,Total Error,accum_energy,average_precision_score,binary_accuracy,binary_crossentropy,cosine_sim,euclidean_distance,f_measure,precision,recall,roc_auc_measure,soft_accuracy,FILEWISE MEAN,FRAMEWISE MEAN
0,0.01736745886654479,0.021841024402029476,0.0,0.9727983679020741,0.8071428571428572,0.02195560305046874,0.005246029047457133,0.9780443969495313,0.0,Schubert_D911-04_SC06.npy,0.9727983679020741,0.6446428571428572,0.017535337834555787,0.009666294263370089,0.9824646621654443,0.1323785123543237,0.28481013946208555,0.9587913196462006,0.18357229282385074,0.43361274386488763,1.5559672574950703,0.034141958670260555,0.6446428571428572,0.017535337834555787,0.893925335999527,0.9419868622573667,,
1,0.013838620395997446,0.01391057487579844,0.0001774622892635315,0.9860869565217392,0.9874055415617129,0.01391304347826087,0.0,0.9862644188110027,0.0001774622892635315,Schubert_D911-14_HU33.npy,0.9860869565217392,0.982367758186398,0.013842058562555456,7.09849157054126e-05,0.986335403726708,0.14111896933258375,0.5602004988480245,0.951083512862755,0.18055256734471692,0.6322189431356964,1.5659874011883086,0.02729945401091978,0.982367758186398,0.013842058562555456,0.9501514393431582,0.9419344447737078,,
2,0.010553158101216164,0.012300558044486364,0.0036398164266497864,0.9845307801867385,0.6480331262939959,0.012383288495015033,0.003085931318246558,0.9912565279316348,0.0036398164266497864,Schubert_D911-09_HU33.npy,0.9845307801867385,0.556935817805383,0.010642506725747744,0.004826713087513847,0.992997309700902,0.12031317009215317,0.4579619922075922,0.9386636899550574,0.2632322401805665,0.5798738199954406,1.7680076488053138,0.02088590395589891,0.556935817805383,0.010642506725747744,0.8847062723595929,0.9304250431499721,,
3,0.014546011330577247,0.015323322096230463,0.0,0.9811639886215114,0.8163265306122449,0.01537633581917429,0.0034596755593142153,0.9846236641808257,0.0,Schubert_D911-19_SC06.npy,0.9811639886215114,0.7755102040816326,0.014607519028215577,0.00422849235027293,0.9853924809717844,0.12455117027302162,0.42565134544778416,0.9436210098461754,0.24331460589169665,0.5248091937992223,1.7965888561344177,0.02867491699366134,0.7755102040816326,0.014607519028215577,0.8930112316579076,0.9336531300928707,,
4,0.14997550563370424,0.15730534915660105,0.011390416339355853,0.8379275869456545,0.9195142033758749,0.1595015353852746,0.0025708776690709133,0.8518888809540812,0.011390416339355853,Schubert_D911-23_SC06.npy,0.8379275869456545,0.8822560724578016,0.15303863457830466,0.009033778476040848,0.8583517817610512,0.23179389582780527,0.6963921035780756,0.956086308878187,0.14787779527567665,0.7072420469057783,1.471644058628081,0.2608325219084713,0.8822560724578016,0.15303863457830466,0.9690635766777979,0.9453427904913861,,
5,0.033968896870581945,0.04052910866723064,0.0015082956259426848,0.9549831767026337,0.8761429758935994,0.04076265614727153,0.004254167150094752,0.9607456394786712,0.0015082956259426848,Schubert_D911-17_SC06.npy,0.9549831767026337,0.7389858686616791,0.034381405422129405,0.010635417875236879,0.9671268902038133,0.14841263573532357,0.4664198082141104,0.9572094944078858,0.16091232840939204,0.5526655806746759,1.4313768573639376,0.06570583887657058,0.7389858686616791,0.034381405422129405,0.9455683071387485,0.9458774481230113,,
6,0.014716910386201725,0.016575104474808658,0.0002356711915535445,0.9797794117647058,0.8133640552995391,0.01663838612368024,0.003582202111613876,0.9835972850678733,0.0002356711915535445,Schubert_D911-12_HU33.npy,0.9797794117647058,0.7235023041474654,0.014800150829562594,0.005420437405731523,0.985435520361991,0.134331019476862,0.37827969517345394,0.9571888237210818,0.1847691565595738,0.5198537815755471,1.5087339018711798,0.02900692840646651,0.7235023041474654,0.014800150829562594,0.8994367509385723,0.9446458163077668,,
7,0.04652832627270769,0.05376680965922784,0.003024390243902439,0.9365609756097562,0.8187155963302752,0.05441463414634146,0.009024390243902438,0.9486097560975609,0.003024390243902439,Schubert_D911-05_SC06.npy,0.9365609756097562,0.713394495412844,0.047414634146341464,0.01602439024390244,0.9556097560975609,0.1652908530370152,0.463528009327474,0.9556159420289855,0.17082748950401433,0.5699884264752695,1.5233912030801133,0.08891938250428816,0.713394495412844,0.047414634146341464,0.937496593773926,0.9452667451100819,,
8,0.0011605824013504959,0.0019534343487672247,0.0,0.9980465656512327,1.0,0.0019534343487672247,0.0,0.9980465656512327,0.0,Schubert_D911-13_HU33.npy,0.9980465656512327,0.5945945945945946,0.0011615015046724038,0.0007919328440948208,0.9988384984953276,0.15776405027782012,0.5885588572443534,0.9431902738772473,0.19546135317145458,0.6567628587188205,1.6701366009538026,0.002318474022552429,0.5945945945945946,0.0011615015046724038,0.9517799279535257,0.9344319690771294,,
9,0.07570255079982706,0.07570255079982706,0.0011261749036254169,0.9234201065534716,0.9760312151616499,0.0758435483172348,0.0007363451292935418,0.9252826265863906,0.0011261749036254169,Schubert_D911-14_SC06.npy,0.9234201065534716,0.9760312151616499,0.0758435483172348,0.0007363451292935418,0.9252826265863906,0.17870144257000062,0.6614383347055378,0.9538354235765616,0.165645137348597,0.6579101994940181,1.516776568822388,0.140749969856517,0.9760312151616499,0.0758435483172348,0.9632250304582342,0.944403859589662,,
