,Accuracy,Chroma Accuracy,Chroma False Alarm Error,Chroma Miss Error,Chroma Precision,Chroma Recall,Chroma Substitution Error,Chroma Total Error,False Alarm Error,Filename,Miss Error,Precision,Recall,Substitution Error,Total Error,accum_energy,average_precision_score,binary_accuracy,binary_crossentropy,cosine_sim,euclidean_distance,f_measure,precision,recall,roc_auc_measure,soft_accuracy
216,0.7310356771735366,0.7382608695652174,0.15675786875128575,0.10059658506480149,0.8268406700428516,0.8732771034766509,0.026126311458547623,0.28348076527463484,0.15675786875128575,08-FuerDeinenThron.npy,0.10059658506480149,0.8221659524737047,0.868339847767949,0.031063567167249537,0.28841802098333674,0.6223562506447655,0.9280612125298012,0.984937538795779,0.061709074253058695,0.8337162892738904,0.8458989251284168,0.8446223111555777,0.8221659524737047,0.868339847767949,0.9959460190343764,0.9678766498139757
217,0.6866368047779022,0.6996426556328756,0.06777546777546778,0.188981288981289,0.8800567778566359,0.7733887733887734,0.03762993762993763,0.2943866943866944,0.06777546777546778,07-HerrGott.npy,0.188981288981289,0.8703572273480009,0.7648648648648648,0.046153846153846156,0.3029106029106029,0.5191914264363188,0.8948736947288025,0.9833788706739527,0.07846383037734929,0.8081319632494676,0.9776159185494235,0.8142082549518646,0.8703572273480009,0.7648648648648648,0.9936734520601431,0.9604214645783815
218,0.670372792674951,0.6795265234546252,0.21946512269092913,0.10697546181417149,0.7682775712515489,0.8547008547008547,0.03832368348497381,0.36476426799007444,0.21946512269092913,01-AchGottundHerr.npy,0.10697546181417149,0.7620817843866171,0.847808105872622,0.04521643231320651,0.37165701681830715,0.5816551687213605,0.8834370118696663,0.9806807727690893,0.06797305728328645,0.8029585341027721,0.919301493489326,0.802662490211433,0.7620817843866171,0.847808105872622,0.9940868292010401,0.9658669330302567
219,0.523852657004831,0.5405982905982906,0.14001194981079465,0.12965544712208724,0.6982061896313818,0.7054371639115714,0.16490738896634136,0.43457478589922327,0.14001194981079465,05-DieNacht.npy,0.12965544712208724,0.68401340429726,0.6910973909579765,0.17924716191993625,0.44891455885281817,0.4802825146688337,0.6262922932089046,0.9716101389789011,0.12358788018351881,0.6800886102374899,1.1950451364203585,0.6875371507826431,0.68401340429726,0.6910973909579765,0.9506868381175212,0.9566349002330313
220,0.6817911335911931,0.6842967818831943,0.11585053745094694,0.18699880566456237,0.8436811168258633,0.7836546664391743,0.029346527896263436,0.3321958710117727,0.11585053745094694,02-AchLiebenChristen.npy,0.18699880566456237,0.8418442321822189,0.7819484729568333,0.031052721378604334,0.33390206449411364,0.534656416170058,0.8971380925549188,0.9829849179075983,0.06949855558551694,0.81260619524086,0.9360780238380488,0.8107916850950907,0.8418442321822189,0.7819484729568333,0.9942857950117159,0.9656598111839295
221,0.643260495948932,0.6464944649446495,0.050066577896138484,0.26764314247669774,0.8944860449285228,0.699866844207723,0.03249001331557923,0.35019973368841545,0.050066577896138484,03-ChristederdubistTagundLicht.npy,0.26764314247669774,0.8917631041524847,0.6977363515312917,0.03462050599201065,0.35233022636484684,0.48414527404016966,0.8885832967961704,0.9815365456948256,0.08055523841373902,0.8099330289563513,1.0064752641065193,0.7829075153145078,0.8917631041524847,0.6977363515312917,0.9873425559042975,0.9641061425370371
222,0.701812450748621,0.7128807106598984,0.1256860592755214,0.15020124405415294,0.8428357089272318,0.8221734357848518,0.027625320160995243,0.3035126234906696,0.1256860592755214,10-NunBitten.npy,0.15020124405415294,0.8351462865716429,0.8146725210391511,0.03512623490669594,0.3110135382363703,0.5729691927960443,0.9116397428241966,0.983688530243465,0.0670730288572506,0.8223946142406805,0.9069805128365451,0.8247823671050195,0.8351462865716429,0.8146725210391511,0.9947808529640247,0.965982816113418
223,0.6833102971665515,0.6979783896828163,0.13438330947023933,0.14154223767641644,0.8250927070457355,0.8191859275925547,0.03927183473102884,0.3151973818776846,0.13438330947023933,06-DieSonne.npy,0.14154223767641644,0.8147919241862381,0.8089588872980159,0.0494988750255676,0.32542442217222334,0.54671763726443,0.8376389676514445,0.9822466294746629,0.07500995380774214,0.8012773402259644,0.9871516425379064,0.811864928666735,0.8147919241862381,0.8089588872980159,0.9929698125748545,0.9629030877036114
224,0.7001679731243001,0.7032674239237133,0.17097749412159893,0.13100436681222707,0.8099160206718347,0.8422908968760497,0.026704736311723213,0.3286865972455492,0.17097749412159893,04-ChristeDuBeistand.npy,0.13100436681222707,0.8078165374677002,0.8401074907625126,0.02888814242526033,0.33087000335908634,0.5884509627709033,0.8959927006921423,0.9834261838440111,0.06802815186971677,0.8197421841291279,0.9138150741692221,0.823645644656677,0.8078165374677002,0.8401074907625126,0.9945271776883431,0.9650989600862355
225,0.6867421983701053,0.7064146390508748,0.1111366774045099,0.15853658536585366,0.8485507246376811,0.8083294983893236,0.03313391624482283,0.3028071790151864,0.1111366774045099,09-Jesus.npy,0.15853658536585366,0.8345410628019324,0.7949838932351587,0.046479521398987575,0.3161527841693511,0.5545491460251851,0.8720833952549039,0.9826965305226175,0.07356108792732927,0.8098642985130154,0.9645727305073892,0.8142823473957105,0.8345410628019324,0.7949838932351587,0.9936582170170151,0.963480725947988
226,0.3011240812797233,0.30961705831157527,0.018564079624245135,0.6723328114515769,0.9192506459948321,0.31827331693133526,0.0093938716170879,0.7002907626929099,0.018564079624245135,take_five.npy,0.6723328114515769,0.8998708010335917,0.31156340863341536,0.01610377991500783,0.7070006709908297,0.2813043537926436,0.7451924413614867,0.9760390726906202,0.09085848812576662,0.7147501778821074,1.0034203070161738,0.46286758597773725,0.8998708010335917,0.31156340863341536,0.9789833691789399,0.9675839043758363
227,0.3428223844282238,0.3704991308666501,0.0007552870090634441,0.6112789526686808,0.9644473173884939,0.3756294058408862,0.013091641490433032,0.6251258811681772,0.0007552870090634441,lussier.npy,0.6112789526686808,0.9107950872656755,0.35473313192346423,0.033987915407854986,0.6460221550855992,0.3265821463905824,0.7836307847813111,0.9516573596792669,0.17711379356101237,0.732489270319215,1.5380215620980942,0.5105997463308569,0.9107950872656755,0.35473313192346423,0.9709514894240414,0.937780486380968
